area_name,area_km2,GloAv_C_extracted,GloAv_C_1960_64,GloAv_C_1993_97,GloAv_C_2014_18,GloAv_N_extracted,GloAv_N_1960_64,GloAv_N_1993_97,GloAv_N_2014_18,GloAv_P_extracted,GloAv_P_1960_64,GloAv_P_1993_97,GloAv_P_2014_18,C_extracted_perSqKm,C_extracted_perSqKm_SD,C_extracted_perSqKm_1960_54,C_extracted_1960_64_perSqKm_SD,C_extracted_perSqKm_1993_97,C_extracted_1993_97_perSqKm_SD,C_extracted_perSqKm_2014_18,C_extracted_2014_18_perSqKm_SD,N_extracted_perSqKm,N_extracted_perSqKm_SD,N_extracted_perSqKm_1960_64,N_extracted_1960_64_perSqKm_SD,N_extracted_perSqKm_1993_97,N_extracted_1993_97_perSqKm_SD,N_extracted_perSqKm_2014_18,N_extracted_2014_18_perSqKm_SD,P_extracted_perSqKm,P_extracted_perSqKm_SD,P_extracted_perSqKm_1960_64,P_extracted_1960_64_perSqKm_SD,P_extracted_perSqKm_1993_97,P_extracted_1993_97_perSqKm_SD,P_extracted_perSqKm_2014_18,P_extracted_2014_18_perSqKm_SD,C_extracted_perSqKm_60s_90s,C_extracted_perSqKm_90s_10s,N_extracted_perSqKm_60s_90s,N_extracted_perSqKm_90s_10s,P_extracted_perSqKm_60s_90s,P_extracted_perSqKm_90s_10s,GloAv_C_perSqKm,GloAv_N_perSqKm,GloAv_P_perSqKm,C_perSqKm_dif,C_perSqKm_dif_SD,C_perSqKm_dif_per,C_perSqKm_dif_per_SD,N_perSqKm_dif,N_perSqKm_dif_SD,N_perSqKm_dif_per,N_perSqKm_dif_per_SD,P_perSqKm_dif,P_perSqKm_dif_SD,P_perSqKm_dif_per,P_perSqKm_dif_per_SD
Albania,12164.16,32315.58811,1059.218019,2616.483289,3131.877834,7238.691737,237.2648363,586.0922568,701.5406348,1551.148229,50.84246492,125.5911979,150.330136,2.566575,0.051693,0.081283,0.00627,0.225893,0.010906,0.239275,0.019091,0.627293,0.008433,0.019776,0.000864,0.055898,0.001362,0.057881,0.003125,0.145454,0.005586,0.005047,7.00E-04,0.010695,0.000906,0.014219,0.00192,0.144609,0.013382,0.036123,0.001983,0.005649,0.003524,2.656623072,0.595083568,0.127517907,0.090048072,0.051693,3.508491763,2.015324158,-0.032209432,0.008433,-5.134671002,1.346118866,-0.017936093,0.005586,-12.33110985,3.869477009
Algeria,131040.83,671622.6823,13801.31759,72182.08787,81012.58925,150443.4808,3091.495139,16168.78768,18146.81999,32237.88875,662.4632441,3464.740218,3888.604284,5.49388,0.024986,0.114678,0.001473,0.610691,0.007763,0.617243,0.009593,1.316729,0.008973,0.027026,0.000632,0.144215,0.003434,0.152757,0.003047,0.31364,0.003354,0.006481,0.000312,0.034717,0.001425,0.035886,0.00148,0.496013,0.006551,0.117189,0.008542,0.028236,0.001169,5.125293256,1.148065689,0.246014076,-0.368586744,0.024986,-6.709042493,0.455819374,-0.168663311,0.008973,-12.80926528,0.68702928,-0.067625924,0.003354,-21.56163873,1.093954459
American Samoa,404370.11,22528.36559,613.196067,1067.280848,2844.544531,5046.353891,137.355919,239.0709099,637.1779749,1081.361548,29.43341121,51.2294807,136.5381375,0.060234,0.001232,0.001898,3.20E-05,0.00311,0.000103,0.008506,9.00E-05,0.014841,0.00017,0.000453,1.00E-06,0.000755,1.30E-05,0.002065,1.00E-05,0.002727,0.000123,6.60E-05,3.00E-06,0.000123,1.10E-05,0.00032,9.00E-06,0.001212,0.005395,0.000302,0.001309,5.70E-05,0.000197,0.055712242,0.012479542,0.002674188,-0.004521758,0.001232,-7.506985433,2.051111632,-0.002361458,0.00017,-15.91171554,1.15988546,-5.28E-05,0.000123,-1.936647051,4.511296811
Andaman & Nicobar Isl. (India),659592.17,57554.56433,1796.333306,6075.900097,6149.49941,12892.22241,402.3786605,1361.001622,1377.487868,2762.619088,86.22399868,291.6432047,295.1759717,0.075979,0.00068,0.003224,5.70E-05,0.008039,0.000121,0.007667,0.000352,0.023084,0.000115,0.000793,4.00E-06,0.002547,8.00E-06,0.002226,7.20E-05,0.003502,8.40E-05,0.000128,6.00E-06,0.000348,1.40E-05,0.00041,4.90E-05,0.004815,-0.000372,0.001755,-0.000322,0.000221,6.20E-05,0.087257804,0.019545748,0.004188375,0.011278804,0.00068,14.84463346,0.904791481,-0.003538252,0.000115,-15.32772436,0.503998689,0.000686375,8.40E-05,19.59950299,2.444265751
Angola,493973.45,3589524.859,214972.2281,286985.6397,307172.563,804053.5684,48153.77909,64284.78329,68806.65412,172297.1932,10318.66695,13775.31071,14744.28303,6.676178,0.035401,0.412821,0.005165,0.536422,0.008586,0.584662,0.012276,1.685119,0.007227,0.104019,0.001447,0.134202,0.001905,0.147146,0.00232,0.391748,0.004254,0.023464,0.000752,0.031818,0.001206,0.033624,0.001461,0.123601,0.04824,0.030183,0.012944,0.008355,0.001806,7.266635198,1.627726284,0.34879849,0.590457198,0.035401,8.844239897,0.532328297,-0.057392716,0.007227,-3.405855348,0.429120459,-0.04294951,0.004254,-10.96355578,1.092408915
Anguilla (UK),89969.65,1431.59928,51.59324519,42.10555922,0.000684039,320.6782387,11.55688692,9.431645266,0.000153225,68.71676544,2.476475769,2.021066843,3.28E-05,0.017347,0.000183,0.000507,4.30E-05,0.000576,1.60E-05,0,0,0.004308,3.30E-05,0.00013,7.00E-06,0.000141,1.00E-06,0,0,0.000768,2.80E-05,3.00E-05,6.00E-06,2.10E-05,2.00E-06,0,0,6.90E-05,-0.000576,1.10E-05,-0.000141,-9.00E-06,-2.10E-05,0.015912025,0.003564294,0.000763777,-0.001434975,0.000183,-8.272182194,1.058540715,-0.000743706,3.30E-05,-17.26338207,0.777347494,-4.22E-06,2.80E-05,-0.549846533,3.645888445
Antigua & Barbuda,111359.26,1762.801329,134.2048448,64.73368999,0.00118814,394.8674976,30.06188524,14.50034656,0.000266143,84.61446378,6.441832551,3.10721712,5.70E-05,0.016077,0.00016,0.001026,4.80E-05,0.000708,2.10E-05,0,0,0.00409,2.00E-05,0.00027,7.00E-06,0.000175,1.00E-06,0,0,0.000854,1.70E-05,7.10E-05,6.00E-06,2.70E-05,2.00E-06,0,0,-0.000319,-0.000708,-9.50E-05,-0.000175,-4.40E-05,-2.70E-05,0.015829859,0.003545888,0.000759833,-0.000247141,0.00016,-1.537236414,0.995328131,-0.000544112,2.00E-05,-13.30346444,0.493305769,-9.42E-05,1.70E-05,-11.02655643,2.002697303
Argentina,1092584.94,5823227.112,75242.82515,905280.1839,760210.0394,1304402.873,16854.39283,202782.7612,170287.0488,279514.9014,3611.655607,43453.44883,36490.08189,4.053935,0.017895,0.053285,0.001998,0.628922,0.006939,0.5343,0.008984,1.01684,0.003751,0.013889,3.00E-04,0.156338,0.001347,0.133092,0.002202,0.224944,0.002824,0.003496,0.000235,0.035454,0.00154,0.024955,0.000745,0.575638,-0.094622,0.142449,-0.023246,0.031958,-0.010499,5.329770619,1.193868619,0.25582899,1.275835619,0.017895,31.47153614,0.462767455,0.177028619,0.003751,17.4096828,0.374436638,0.03088499,0.002824,13.73007935,1.267201636
Aruba (Netherlands),31042.22,14427.30322,37.53304954,2816.229386,582.6321013,3231.715922,8.407403098,630.8353825,130.5095907,692.5105546,1.801586378,135.1790105,27.96634086,0.472216,0.004999,0.000993,3.60E-05,0.092071,0.001501,0.016846,0.000455,0.12056,0.000721,0.000268,8.00E-06,0.023803,0.000222,0.00446,7.60E-05,0.021244,0.00043,7.30E-05,5.00E-06,0.004036,0.000147,9.00E-04,4.80E-05,0.091078,-0.075225,0.023536,-0.019343,0.003963,-0.003136,0.4647639,0.104107114,0.022308667,-0.0074521,0.004999,-1.57811263,1.058757528,-0.016452886,0.000721,-13.64705248,0.60358581,0.001064667,0.00043,5.011613556,2.026641222
Ascension Isl. (UK),441642.21,10483.19586,2.756034644,2188.814507,2258.214661,2348.235873,0.61735176,490.2944497,505.8400841,503.1934013,0.132289663,105.0630964,108.3943037,0.028432,0.00023,7.00E-06,0,0.005979,0.000106,0.005991,7.70E-05,0.006985,1.80E-05,2.00E-06,0,0.001469,7.00E-06,0.001474,1.20E-05,0.001105,2.80E-05,0,0,0.00023,1.50E-05,0.000242,1.30E-05,0.005972,1.20E-05,0.001467,5.00E-06,0.000229,1.20E-05,0.023736852,0.005317055,0.001139369,-0.004695148,0.00023,-16.51360372,0.819903442,-0.001667945,1.80E-05,-23.87895647,0.264940158,3.44E-05,2.80E-05,3.110308159,2.535162023
"Atlantic, Antarctic",7442125.83,330304.3322,0,28762.54264,93233.48434,73988.17042,0,6442.809551,20884.30049,15854.60795,0,1380.602047,4475.207249,0.033636,0.000961,0,0,0.002911,0.000176,0.009398,0.000578,0.005675,1.70E-05,0,0,0.000482,1.00E-06,0.001567,3.00E-06,0.00088,4.70E-05,0,0,7.00E-05,8.00E-06,0.000233,2.90E-05,0.002911,0.006487,0.000482,0.001084,7.00E-05,0.000162,0.044383062,0.009941806,0.002130387,0.010747062,0.000961,31.95107033,2.999348991,0.004266806,1.70E-05,75.1860069,0.374783925,0.001250387,4.70E-05,142.0894292,9.279882322
"Atlantic, Eastern Central",9071588.33,872378.5871,2224.601355,123981.1093,102645.3564,195412.8035,498.3107035,27771.76849,22992.55984,41874.17218,106.780865,5951.093247,4926.977108,0.117488,0.000288,0.000286,5.00E-06,0.016861,0.000115,0.013967,8.30E-05,0.028515,2.30E-05,7.00E-05,1.00E-06,0.004075,6.00E-06,0.003374,7.00E-06,0.00429,3.20E-05,1.10E-05,1.00E-06,0.000605,1.30E-05,0.000498,9.00E-06,0.016575,-0.002895,0.004004,-7.00E-04,0.000594,-0.000108,0.096166025,0.02154119,0.004615969,-0.021321975,0.000288,-18.14821542,0.249135512,-0.00697381,2.30E-05,-24.45663853,0.083036498,0.000325969,3.20E-05,7.598349273,0.74807093
