year,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI,GloAv_C_extracted,GloAv_N_extracted,GloAv_P_extracted,C_dif,C_dif_SD,C_dif_lowCI,C_dif_highCI,C_dif_per,C_dif_per_SD,C_dif_per_lowCI,C_dif_per_highCI,N_dif,N_dif_SD,N_dif_lowCI,N_dif_highCI,N_dif_per,N_dif_per_SD,N_dif_per_lowCI,N_dif_per_highCI,P_dif,P_dif_SD,P_dif_lowCI,P_dif_highCI,P_dif_per,P_dif_per_SD,P_dif_per_lowCI,P_dif_per_highCI
1960,2866822.127,82606.4367,2715397.887,2812347.824,2857845.978,2909332.062,3041300.067,698478.0075,13915.35968,673089.535,689024.6282,697201.8267,708091.3622,723704.213,146212.1682,12514.10179,128540.4554,136985.8266,143762.3861,152670.4078,176436.8433,3170350.609,710158.5365,152176.8292,303528.4823,82606.4367,129050.5422,454952.722,10.5876287,2.897568912,4.243268977,16.75455093,11680.52904,13915.35968,-13545.67647,37069.00144,1.672283009,1.992518752,-1.87171447,5.507291306,5964.661015,12514.10179,-24260.01403,23636.37383,4.079455962,8.565983648,-13.74997057,18.38827609
1961,3245198.895,117333.1626,3061888.69,3157455.393,3238288.678,3314118.904,3443570.044,812504.8391,22293.82722,769809.3395,800166.5444,811570.4793,824381.5037,860942.3039,170522.7011,17754.28231,144033.849,159473.1855,167645.0718,178268.9097,211502.0001,3674080.998,822994.1435,176355.8879,428882.1026,117333.1626,230510.9539,612192.3081,13.21589574,3.647030607,6.693952814,19.99394394,10489.30441,22293.82722,-37948.16043,53184.80399,1.290983623,2.744067956,-4.407747216,6.908828104,5833.186822,17754.28231,-35146.11222,32322.03888,3.420768488,10.41777246,-16.61739,22.4405854
1962,3512029.547,152295.1132,3257002.448,3399567.854,3484219.251,3617816.444,3826025.828,895666.3751,32428.87597,843900.8967,876094.1581,894348.5969,917409.7998,963725.2716,188151.9981,23705.82012,155959.6089,170948.1157,184710.9262,205490.1316,232995.0911,4024202.01,901421.2503,193161.6965,512172.4631,152295.1132,198176.1827,767199.5622,14.58337568,4.382254134,5.17968753,23.55538795,5754.875224,32428.87597,-62304.02122,57520.35365,0.642524425,3.620717073,-6.464915164,6.81600812,5009.698414,23705.82012,-39833.39458,37202.08757,2.662580501,12.60375749,-17.09623769,23.85366816
1963,3825415.575,148626.5023,3577997.279,3719259.437,3800451.781,3899647.733,4126469.112,967239.7464,29830.86009,910986.1547,950157.9935,967962.8589,986515.1309,1022712.672,200615.3935,25304.21142,167989.5798,183787.1853,196172.5553,213932.6073,266830.2979,4342301.148,972675.4572,208430.4551,516885.573,148626.5023,215832.0361,764303.8694,13.51188029,3.920544225,5.230428976,21.36121997,5435.710791,29830.86009,-50037.21432,61689.30253,0.561981744,3.08417135,-4.892597473,6.771705828,7815.061567,25304.21142,-58399.84277,40440.87528,3.89554432,12.62286189,-21.8865111,24.07344272
1964,4342448.386,229980.9005,3967443.222,4168598.086,4322626.053,4476436.48,4870472.512,1117768.252,38854.85095,1051624.277,1092656.918,1116455.969,1146998.726,1199268.084,241274.4615,34818.85958,193270.4911,216534.6802,230401.7755,263923.6677,319865.164,5009737.26,1122181.146,240467.3885,667288.8737,229980.9005,139264.7473,1042294.037,15.36665066,5.358276066,2.859368304,26.27117716,4412.894545,38854.85095,-77086.938,70556.8696,0.394795123,3.476136819,-6.427832027,6.709323014,-807.0730514,34818.85958,-79397.77551,47196.8974,-0.334504135,14.43130539,-24.82226402,24.42012598
1965,4337846.979,145095.5839,4097657.024,4242012.007,4317746.646,4410157.135,4611493.601,1092924.41,31965.17972,1038260.208,1069872.015,1089512.49,1119936.801,1151861.64,228678.3344,23664.24619,194553.1794,212127.953,222727.1474,241267.7527,281114.6973,4918414.721,1101724.898,236083.9066,580567.7427,145095.5839,306921.1202,820757.6975,13.38377646,3.374700226,6.655568601,20.02992668,8800.48808,31965.17972,-50136.7426,63464.68967,0.805223857,2.924833201,-4.352670568,6.112599634,7405.572241,23664.24619,-45030.79068,41530.72725,3.238423203,10.35369258,-16.01865399,21.34672247
1966,4800559.322,190390.9823,4508432.346,4656097.625,4790016.23,4907741.112,5182627.093,1225989.592,34906.78511,1161099.916,1202042.162,1226307.327,1246453.522,1305775.798,252882.6523,30648.2887,206717.1425,234094.8244,247279.3863,263622.9918,325738.9111,5502312.807,1232518.069,264111.0147,701753.4846,190390.9823,319685.7133,993880.4604,14.61816087,4.008167693,6.16841049,22.04492347,6528.476905,34906.78511,-73257.72915,71418.15309,0.532506715,2.847273766,-5.610283884,6.150905028,11228.3624,30648.2887,-61627.89633,57393.87217,4.440147354,12.13151039,-18.91941498,27.76444733
1967,5309949.851,234334.9132,4941698.622,5155752.066,5311593.772,5436489.015,5787770.803,1352478.546,44540.91958,1269798.537,1326573.888,1349142.683,1377322.587,1436160.162,290283.1734,38570.80914,228512.6159,263717.4493,285051.3464,322734.2355,356024.4181,6090390.114,1364247.385,292338.7255,780440.2629,234334.9132,302619.3107,1148691.492,14.69769555,4.460540573,5.228598731,23.24487144,11768.8392,44540.91958,-71912.77619,94448.84888,0.870168272,3.293405724,-5.007295016,7.43809716,2055.55201,38570.80914,-63685.69263,63826.10959,0.708119587,13.28763762,-17.88801256,27.93110978
1968,5817605.001,279679.2607,5349057.63,5614151.296,5786144.611,6046842.222,6336262.956,1478538.116,40541.63514,1406366.09,1448514.488,1475629.06,1506666.104,1559895.571,310415.5112,39561.64418,255748.8911,279736.4809,304578.6306,337166.2472,385023.4282,6651447.911,1489924.332,319269.4997,833842.9098,279679.2607,315184.9552,1302390.281,14.333096,4.85659456,4.974303583,24.34803233,11386.21598,40541.63514,-69971.23941,83558.2419,0.770099591,2.742089423,-4.485636134,5.941428941,8853.988554,39561.64418,-65753.92845,63520.60863,2.852302232,12.74992145,-17.07790322,24.83710031
1969,5534137.349,229017.8428,5117477.321,5356678.087,5537692.201,5668049.372,6006646.253,1425547.488,37597.72463,1364976.505,1397617.036,1422158.083,1456891.948,1502495.809,295472.4517,35316.61738,248033.6255,269261.4787,289030.9848,310561.1462,372672.0249,6390947.845,1431572.317,306765.4965,856810.4953,229017.8428,384301.5912,1273470.524,15.48227739,4.187579084,6.397939465,24.88473214,6024.829174,37597.72463,-70923.49146,66595.81209,0.422632653,2.637447067,-4.720378656,4.87889805,11293.04481,35316.61738,-65906.52838,58731.87103,3.822029681,11.96131919,-17.68486067,23.6789955
1970,6179345.734,268717.8654,5683026.155,5995248.404,6200237.935,6386716.114,6614831.978,1611631.566,57479.07227,1502067.993,1574183.521,1606027.627,1646284.2,1741680.345,337083.8608,52225.97658,274387.6167,301496.1493,326937.4193,350024.5509,493925.3485,7297201.531,1634573.143,350265.6735,1117855.797,268717.8654,682369.5532,1614175.377,18.09019669,4.419228944,10.31575035,28.40344797,22941.57733,57479.07227,-107107.2018,132505.1498,1.423500124,3.566875758,-6.149647503,8.821514764,13181.81267,52225.97658,-143659.675,75878.05677,3.910543994,15.50530901,-29.08530114,27.65360102
1971,6101896.829,220283.544,5671661.229,5963659.392,6097588.632,6236999.089,6556140.724,1585100.479,47804.10719,1508878.396,1548829.404,1579145.014,1620519.844,1674357.827,337250.5341,37871.85104,283472.0618,311028.2077,331114.942,353645.4825,434871.8006,7181983.863,1608764.385,344735.2254,1080087.034,220283.544,625843.1392,1510322.634,17.70084064,3.666202389,9.545907654,26.6292815,23663.90668,47804.10719,-65593.4417,99885.98928,1.492896318,3.016176872,-3.917528299,6.619883322,7484.69131,37871.85104,-90136.57515,61263.16359,2.219326748,11.23235482,-20.72716029,21.61171129
1972,5522156.968,98754.57053,5331842.053,5464943.45,5523064.349,5565908.587,5713885.967,1397764.353,18386.53467,1362869.089,1386279.542,1395134.253,1409816.07,1431234.364,288957.0753,13044.38499,269127.182,278509.979,287208.0332,297350.8325,315784.7873,6391757.472,1431753.674,306804.3586,869600.5039,98754.57053,677871.5047,1059915.419,15.74747891,1.810371306,11.86358126,19.87897256,33989.32057,18386.53467,519.3100323,68884.58431,2.431691758,1.31581335,0.036284067,5.05438012,17847.28337,13044.38499,-8980.428702,37677.17662,6.176447955,4.522901017,-2.843844625,13.99976633
1973,5617429.866,55069.24207,5529306.265,5577759.272,5612477.346,5657902.152,5729430.561,1403203.112,9322.454325,1386497.664,1396464.718,1403104.118,1409975.818,1421101.537,290659.8273,7057.332279,279635.654,285801.2338,289158.1367,294977.0703,305004.9959,6437376.3,1441972.291,308994.0624,819946.434,55069.24207,707945.7388,908070.0356,14.59646945,0.990716318,12.35630193,16.42285654,38769.17922,9322.454325,20870.75407,55474.62722,2.762905732,0.664623089,1.46863215,4.001061715,18334.23512,7057.332279,3989.0665,29358.40843,6.30779812,2.432864003,1.307869233,10.49880729
1974,6188033.978,100607.042,6031044.953,6119597.987,6182362.841,6247078.994,6398932.943,1561669.749,17244.14965,1530996.594,1549289.962,1559818.826,1570122.152,1596220.841,322967.9216,14751.80301,302456.8728,312571.1002,320001.0868,330056.3761,362110.2112,7119832.526,1594842.486,341751.9613,931798.5482,100607.042,720899.5837,1088787.574,15.05807097,1.644161274,11.26593434,18.05305021,33172.73703,17244.14965,-1378.354895,63845.89151,2.124183878,1.104461403,-0.08635114,4.170217736,18784.03967,14751.80301,-20358.24992,39295.08842,5.816069776,4.575294069,-5.622114287,12.99196413
1975,6267141.897,82516.94654,6108749.149,6211392.251,6260614.739,6309229.374,6449879.143,1575254.917,12718.45035,1553007.896,1566748.557,1573901.862,1583594.875,1602620.161,324284.2168,10360.33276,309537.4957,315991.815,322968.3411,330615.7691,345428.5084,7208404.399,1614682.585,346003.4111,941262.5013,82516.94654,758525.2551,1099655.25,15.01900734,1.331427113,11.76030183,18.0013162,39427.66855,12718.45035,12062.42445,61674.68959,2.50293893,0.807642843,0.752668957,3.971305604,21719.19435,10360.33276,574.9027053,36465.91543,6.697579846,3.201988623,0.166431748,11.78077484
1976,6632851.999,99673.50449,6477117.01,6567155.237,6623920.581,6693496.633,6830759.853,1676011.416,17595.01838,1643174.351,1664167.78,1676760.949,1687656.135,1708135.463,345198.092,16762.05496,323105.3399,334402.217,342253.345,351323.1243,381462.7431,7657210.664,1715215.189,367546.1119,1024358.664,99673.50449,826450.8109,1180093.654,15.44371357,1.520539703,12.09895866,18.21942774,39203.77282,17595.01838,7079.726092,72040.83803,2.339111324,1.050102109,0.414470998,4.384247965,22348.01991,16762.05496,-13916.6312,44440.77191,6.473969708,4.865943763,-3.648228156,13.75426724
1977,6611714.003,50488.57072,6526985.98,6580627.141,6605438.17,6647201.402,6703257.191,1653205.065,7665.802389,1638825.692,1648159.331,1653343.415,1658692.488,1666769.13,337947.0802,4964.078548,328738.2021,335311.0932,337768.2396,339694.0419,351071.2157,7558603.48,1693127.18,362812.9671,946889.477,50488.57072,855346.289,1031617.5,14.32139195,0.771414322,12.7601592,15.80541927,39922.1142,7665.802389,26358.0498,54301.48727,2.41483135,0.463828556,1.581385768,3.313438856,24865.88688,4964.078548,11741.75136,34074.76492,7.357923279,1.472863126,3.344549719,10.36531948
