area_name,area_km2,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,C_extracted_1960_64,C_extracted_SD_1960_64,C_extracted_lowCI_1960_64,C_extracted_lowIQR_1960_64,C_extracted_median_1960_64,C_extracted_highIQR_1960_64,C_extracted_highCI_1960_64,C_extracted_1993_97,C_extracted_SD_1993_97,C_extracted_lowCI_1993_97,C_extracted_lowIQR_1993_97,C_extracted_median_1993_97,C_extracted_highIQR_1993_97,C_extracted_highCI_1993_97,C_extracted_2014_18,C_extracted_SD_2014_18,C_extracted_lowCI_2014_18,C_extracted_lowIQR_2014_18,C_extracted_median_2014_18,C_extracted_highIQR_2014_18,C_extracted_highCI_2014_18,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,N_extracted_1960_64,N_extracted_SD_1960_64,N_extracted_lowCI_1960_64,N_extracted_lowIQR_1960_64,N_extracted_median_1960_64,N_extracted_highIQR_1960_64,N_extracted_highCI_1960_64,N_extracted_1993_97,N_extracted_SD_1993_97,N_extracted_lowCI_1993_97,N_extracted_lowIQR_1993_97,N_extracted_median_1993_97,N_extracted_highIQR_1993_97,N_extracted_highCI_1993_97,N_extracted_2014_18,N_extracted_SD_2014_18,N_extracted_lowCI_2014_18,N_extracted_lowIQR_2014_18,N_extracted_median_2014_18,N_extracted_highIQR_2014_18,N_extracted_highCI_2014_18,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI,P_extracted_1960_64,P_extracted_SD_1960_64,P_extracted_lowCI_1960_64,P_extracted_lowIQR_1960_64,P_extracted_median_1960_64,P_extracted_highIQR_1960_64,P_extracted_highCI_1960_64,P_extracted_1993_97,P_extracted_SD_1993_97,P_extracted_lowCI_1993_97,P_extracted_lowIQR_1993_97,P_extracted_median_1993_97,P_extracted_highIQR_1993_97,P_extracted_highCI_1993_97,P_extracted_2014_18,P_extracted_SD_2014_18,P_extracted_lowCI_2014_18,P_extracted_lowIQR_2014_18,P_extracted_median_2014_18,P_extracted_highIQR_2014_18,P_extracted_highCI_2014_18,C_extracted_perSqKm,C_extracted_perSqKm_SD,C_extracted_perSqKm_1960_64,C_extracted_1960_64_perSqKm_SD,C_extracted_perSqKm_1993_97,C_extracted_1993_97_perSqKm_SD,C_extracted_perSqKm_2014_18,C_extracted_2014_18_perSqKm_SD,N_extracted_perSqKm,N_extracted_perSqKm_SD,N_extracted_perSqKm_1960_64,N_extracted_1960_64_perSqKm_SD,N_extracted_perSqKm_1993_97,N_extracted_1993_97_perSqKm_SD,N_extracted_perSqKm_2014_18,N_extracted_2014_18_perSqKm_SD,P_extracted_perSqKm,P_extracted_perSqKm_SD,P_extracted_perSqKm_1960_64,P_extracted_1960_64_perSqKm_SD,P_extracted_perSqKm_1993_97,P_extracted_1993_97_perSqKm_SD,P_extracted_perSqKm_2014_18,P_extracted_2014_18_perSqKm_SD,C_extracted_perSqKm_60s_90s,C_extracted_perSqKm_90s_10s,N_extracted_perSqKm_60s_90s,N_extracted_perSqKm_90s_10s,P_extracted_perSqKm_60s_90s,P_extracted_perSqKm_90s_10s
"Atlantic, Northeast",5452237.53,1210550.718,14788.60884,1185669.411,1201071.592,1209016.809,1219718.949,1239341.046,22705.47802,714.5561974,21288.69382,22204.88286,22629.09362,23150.60615,24181.56024,93504.67529,2732.781463,87131.50981,92198.25965,93636.72187,95484.54488,98411.41775,170957.2982,9447.755002,154587.0159,164236.9988,171078.004,175777.2329,193079.9052,309661.9708,2601.454223,304300.4932,308092.1764,309501.8096,311102.1963,314788.5257,5516.315304,88.04744256,5353.938217,5461.858934,5515.661696,5570.827787,5675.395282,23175.38353,470.0152595,22271.31616,22879.55275,23197.37843,23441.46294,24179.77182,42702.46009,1752.588012,39623.0761,41511.56512,42502.02134,43834.967,46263.86848,71867.29127,1787.947147,69186.06518,70706.55165,71479.82844,72952.6566,75485.57216,1083.240863,48.95490181,994.2702392,1051.809662,1084.282039,1116.047661,1173.873197,5363.252714,274.8085484,4812.177704,5184.755611,5338.10256,5559.754503,5878.516753,10054.69557,913.9498951,8313.986927,9530.591708,10037.48006,10581.16259,11882.14773,0.222028243,0.002712393,0.004164433,0.000131057,0.01714978,0.000501222,0.031355438,0.001732822,0.056795393,0.000477135,0.001011753,1.61E-05,0.004250619,8.62E-05,0.007832098,0.000321444,0.013181247,0.000327929,0.000198678,8.98E-06,0.000983679,5.04E-05,0.001844141,0.000167628,311.8154888,82.83288792,320.1243448,84.25783565,395.1117427,87.4738355
Belgium,3479.65,48033.2491,293.1492232,47529.85986,47797.11368,48040.02829,48239.56313,48525.91483,7638.333764,91.52460358,7445.968147,7584.443431,7642.296294,7696.924123,7814.043063,2876.982544,57.29013553,2772.454124,2836.795037,2882.755611,2912.884563,2976.771262,1690.171149,37.79315111,1620.019926,1664.052829,1692.340379,1715.440872,1755.249104,11568.82418,59.75044304,11444.96792,11525.36026,11571.00193,11610.91805,11666.12254,1709.143883,24.39777451,1662.239751,1689.039104,1711.844768,1727.351843,1748.462587,713.6092035,8.966327487,696.3387513,707.0437471,712.7765606,720.2730969,729.9947797,431.0697158,7.897739983,416.6419502,425.3779317,430.618282,436.1813158,447.5874737,2265.112047,27.57901387,2220.189631,2246.541088,2260.244408,2281.238835,2323.48003,371.1473545,11.38011438,352.6605893,363.1169338,369.7488149,378.6502225,394.461133,132.3649176,5.061437859,124.0824121,128.9046644,132.0669838,135.4267915,142.7310052,82.33288186,2.70580456,77.80168078,80.5490128,82.49805329,84.04434204,87.49651091,13.80404612,0.084246756,2.195144271,0.026302819,0.826802277,0.016464339,0.485730217,0.010861193,3.324709146,0.017171395,0.4911827,0.00701156,0.205080742,0.00257679,0.123883068,0.002269694,0.650959736,0.007925801,0.106662266,0.003270477,0.038039722,0.001454582,0.023661254,0.000777608,-62.3349459,-41.25194981,-58.24756414,-39.59302742,-64.33628962,-37.79856221
Denmark (Baltic Sea),29369.54,756795.3709,3179.158747,752108.1595,754466.5854,756468.5457,758554.845,763467.9948,51223.70438,643.566313,50139.42877,50810.1807,51167.08685,51576.66369,52440.62249,80058.83081,704.8775328,78665.37741,79694.63161,80038.72803,80474.37374,81569.68363,48297.30726,572.4311159,47118.09473,47916.83513,48333.32697,48636.5385,49391.44498,157815.8445,676.9338252,156738.8246,157377.3002,157807.5451,158219.0244,159162.1119,11040.47724,111.8473854,10815.13423,10964.62155,11038.58644,11124.15909,11239.74881,16485.04808,246.1666984,16051.14905,16288.24667,16492.46036,16629.10806,16997.11363,10029.31962,258.4866402,9543.987286,9895.391687,10001.46733,10186.72427,10502.5378,32991.30026,221.0664094,32593.7859,32858.81089,32977.03639,33128.5483,33414.59836,2331.36756,56.47218862,2229.545036,2295.299735,2334.656121,2365.589321,2428.37864,3469.375052,71.76034457,3354.715137,3422.42537,3470.525485,3522.32845,3593.727087,2024.302612,53.76508393,1934.09666,1982.641991,2021.240004,2069.390324,2125.752315,25.76803624,0.108246801,1.744109863,0.021912713,2.725913678,0.024000292,1.644469313,0.019490639,5.373453057,0.02304884,0.375915906,0.003808278,0.561297456,0.008381701,0.34148712,0.008801181,1.123316888,0.007527064,0.079380459,0.001922815,0.118128342,0.00244336,0.068925241,0.001830641,56.29254421,-39.67272971,49.31463306,-39.16111393,48.81287323,-41.65224049
Denmark (North Sea),75740.81,1848823.478,17938.81332,1816026.745,1838849.923,1849104.794,1860981.03,1882090.805,161817.1099,1362.651628,159589.1755,160891.4271,161704.4334,162831.0869,164572.1769,196124.7973,7620.117377,183579.8762,191011.0142,195475.4159,200853.2351,212250.8498,70554.41948,1799.631887,66983.55988,69488.60702,70474.46849,71564.37284,74006.75988,408985.0845,2484.847505,404415.4303,407219.5499,409429.1537,410623.8551,413203.1998,32947.75437,385.9280731,32254.41034,32679.87844,32963.14753,33202.88934,33651.02655,44453.82404,1232.834407,42039.0833,43742.32443,44453.59304,45225.29849,46776.13307,15970.79466,271.9791146,15480.74696,15829.08087,15967.06791,16144.08179,16467.10197,93156.43525,1778.868081,89147.14031,92156.16647,93168.68793,94269.32387,96880.42513,7482.116787,186.5313774,7176.855452,7346.157759,7470.704407,7606.288003,7844.444748,10395.12078,828.6669346,8701.796816,9802.935047,10395.38698,10994.37906,11994.07774,3678.143814,177.0588597,3358.030558,3568.416238,3651.115097,3778.047059,4094.534303,24.40987201,0.236844751,2.136458666,0.017990983,2.589420383,0.100607815,0.931524491,0.023760399,5.399798134,0.032807248,0.435006628,0.005095378,0.586920368,0.016277016,0.210861155,0.003590919,1.22993714,0.023486256,0.098785804,0.002462759,0.137245968,0.010940825,0.048562246,0.002337694,21.20152029,-64.02575275,34.92216661,-64.07329401,38.93288589,-64.61663224
Estonia,36432.62,477546.9085,946.2036357,475841.0402,477010.2692,477516.094,477999.696,479677.8351,22550.55722,200.3445231,22198.02265,22424.99819,22548.15498,22686.25955,22949.31744,47185.41362,224.7710883,46708.36347,47064.36666,47205.14,47332.92504,47540.116,46956.322,223.1283418,46532.59237,46809.13219,46967.68308,47087.16592,47389.1857,94370.2799,301.1421314,93810.30657,94167.75723,94383.55688,94556.25795,94961.81725,4452.645244,72.57223784,4335.954443,4398.376911,4455.945255,4506.391986,4578.482007,9184.42259,101.6780401,8974.502459,9113.108736,9192.179482,9253.343718,9378.184094,9051.824854,93.0308885,8891.053726,8997.302328,9047.901066,9103.247539,9239.943881,22749.96325,158.9952132,22489.79134,22644.75076,22741.8472,22848.25493,23051.71242,1042.225502,37.24655612,976.4719107,1012.958653,1039.482151,1066.01253,1118.68956,2278.503209,55.91423003,2176.104442,2240.436245,2274.203121,2317.272356,2394.055501,2273.493273,51.12951626,2170.056058,2241.98987,2271.22741,2308.713579,2369.239418,13.10767407,0.025971331,0.618966114,0.005499042,1.295141926,0.006169501,1.288853835,0.006124411,2.590268828,0.008265728,0.122215895,0.001991958,0.252093387,0.002790852,0.248453854,0.002553505,0.624439397,0.004364089,0.028606933,0.001022341,0.062540196,0.00153473,0.062402684,0.001403399,109.2427835,-0.48551365,106.2689051,-1.44372425,118.6190228,-0.219878357
Faeroe Isl. (Denmark),272161.45,2828147.759,15751.95113,2800884.755,2817112.335,2826629.897,2839805.949,2861244.505,83258.19889,1106.515941,81537.4244,82490.53761,83234.98024,83974.63944,85293.0933,256920.9984,5092.799516,247458.3864,253275.4049,256325.8487,260674.1138,267143.1319,336160.7457,7941.510694,321514.3959,330825.0873,335991.5702,341323.6954,352476.354,702451.8552,2793.297443,696792.6763,700422.781,702417.4958,704444.9952,707845.849,17776.65241,238.6000252,17367.0495,17611.78443,17786.66513,17939.56889,18226.30168,61692.73238,796.3296062,60358.98888,61072.87821,61773.06195,62201.65455,63204.84484,90091.41968,1294.666681,87975.65563,89050.27578,90150.43857,90924.11715,92714.90211,160474.7165,2450.26315,156866.2954,158686.5713,160535.4248,162244.0274,164927.2277,3922.710403,120.6957501,3718.09924,3827.860297,3908.192016,3999.283014,4148.35355,13856.51263,605.2007681,12827.10163,13527.12736,13856.8217,14233.25615,14934.14234,20623.7213,1202.94497,18431.63113,19835.83308,20624.09818,21337.74408,23169.22727,10.39143405,0.057877231,0.305914739,0.00406566,0.944002166,0.018712421,1.23515195,0.029179411,2.581011584,0.010263384,0.06531657,0.000876686,0.226676968,0.002925946,0.331021971,0.00475698,0.589630591,0.009002977,0.014413174,0.000443471,0.050912841,0.002223683,0.075777526,0.004419968,208.583421,30.84206736,247.0435882,46.03246801,253.2382257,48.83774771
Finland,82530.72,601559.1363,1334.975841,599010.3613,600681.091,601543.1716,602460.0893,603946.9526,23876.59281,167.8322554,23594.56124,23743.37649,23856.64979,23989.15097,24206.01412,60868.8957,396.1623704,60042.19455,60651.22861,60875.56673,61125.00769,61619.31161,81168.03283,691.2614644,79883.81402,80744.41933,81211.36713,81645.06445,82517.38095,111307.6387,643.6072304,110260.813,110862.4252,111254.7585,111723.4896,112456.7601,4431.54743,76.10400693,4290.549116,4386.846137,4425.579719,4472.369972,4602.95881,11086.00601,237.7304737,10667.96126,10928.75493,11078.47414,11233.50236,11582.54583,14831.6959,307.8567255,14259.3494,14619.5925,14844.27004,15009.31752,15399.72862,27524.04093,246.7631646,27031.22903,27327.34162,27518.95979,27725.74912,27903.19487,1090.106076,37.25670202,1022.224638,1064.211818,1087.513634,1111.438844,1166.306299,2778.763651,89.25415108,2625.324186,2718.906958,2775.069184,2830.080792,2974.051196,3729.020117,134.5186429,3465.459541,3649.99133,3725.022784,3819.703171,3966.053965,7.288911769,0.016175502,0.289305519,0.002033573,0.737530167,0.004800181,0.983488728,0.008375808,1.3486813,0.007798396,0.053695732,0.000922129,0.134325812,0.002880509,0.179711214,0.003730208,0.333500555,0.002989955,0.013208489,0.000451428,0.033669446,0.001081466,0.045183419,0.001629922,154.9312466,33.34894922,150.1610597,33.78755054,154.9076382,34.19709573
France (Atlantic Coast),258324.23,1053850.771,1579.869864,1051140.994,1052735.932,1053804.527,1054960.283,1056934.799,55999.63444,328.0282986,55445.92654,55736.60067,55995.57755,56240.73902,56621.22347,102577.9951,645.0893921,101506.8666,102142.199,102532.6903,102915.3118,104024.3804,128974.5622,662.1791606,127785.736,128554.4145,128934.769,129416.2798,130257.1454,249571.0656,621.1950874,248347.0929,249222.698,249565.132,249995.4651,250709.0903,13784.53835,114.8851132,13581.4829,13703.69616,13783.86098,13872.46217,13977.57721,25007.4135,223.8312451,24556.37968,24883.81244,25003.67625,25142.61131,25450.57385,30524.79069,240.3800017,30026.35046,30374.0752,30529.28354,30673.37114,30996.69446,54321.92404,443.1262572,53576.19355,53984.74766,54311.31704,54610.61553,55188.59681,2823.688822,64.35257656,2709.737545,2777.547905,2822.560228,2871.509492,2947.193104,5896.255092,170.1706788,5597.880802,5785.81724,5898.304731,6009.948361,6229.707482,6738.534558,150.5089414,6469.275911,6628.932675,6731.902104,6836.803448,7067.156015,4.079566098,0.006115841,0.216780418,0.001269832,0.397090103,0.002497208,0.499273964,0.002563364,0.966115589,0.002404711,0.053361384,0.000444732,0.096806302,0.000866474,0.118164644,0.000930536,0.210285826,0.001715388,0.010930794,0.000249116,0.022825018,0.000658748,0.026085569,0.000582636,83.17618693,25.73316738,81.41640196,22.06296619,108.813912,14.28499027
Germany (Baltic Sea),15397.16,407854.9473,1572.205013,404754.1422,406814.5207,407760.3879,408804.5692,411317.7096,28132.44393,464.4598274,27240.30734,27857.87042,28172.74459,28359.80767,29069.47089,37471.93003,297.0736147,36921.34544,37277.31191,37450.85487,37661.50095,38031.14462,17992.64182,177.5696861,17666.85076,17861.34776,17990.8177,18125.00378,18303.04339,83543.31348,439.3311292,82755.17094,83234.81711,83532.05491,83843.23041,84338.32082,6081.70817,74.18857951,5932.580587,6029.984659,6081.16425,6128.784954,6225.81303,7492.195273,113.7025772,7249.232432,7413.740107,7497.783805,7569.404446,7702.690296,3644.250408,52.46283139,3540.080145,3606.334197,3641.881358,3684.06734,3754.33416,17793.59047,186.6512748,17419.20102,17659.67678,17796.634,17912.01664,18140.39012,1291.924956,33.07151004,1236.695002,1270.307031,1290.59287,1317.735869,1355.74384,1613.726607,31.28883287,1558.112216,1594.875205,1611.223027,1635.939194,1666.717871,810.9414669,22.77464366,772.8648338,798.242627,810.7947078,822.623023,859.3285603,26.48897247,0.102110065,1.827119023,0.030165292,2.43369102,0.019294053,1.168568867,0.011532626,5.425891105,0.028533257,0.394988957,0.004818329,0.486595922,0.007384646,0.236683285,0.003407306,1.155641071,0.012122448,0.083906705,0.002147897,0.10480677,0.002032117,0.05266825,0.001479146,33.19827498,-51.98368002,23.19228517,-51.35937765,24.90869534,-49.74728289
Germany (North Sea),40998,1059597.372,12298.71976,1031887.758,1051231.22,1059852.486,1066837.723,1081486.916,90965.44198,2024.099606,87519.1833,89599.01568,90744.73965,92323.14662,94936.81006,100847.5638,5301.982241,91444.40489,97071.91601,100945.7912,104699.6591,111107.6504,55433.29534,1425.900091,52883.28042,54405.73212,55385.15145,56205.74783,58577.62641,247809.3401,1935.476729,243587.5516,246690.3714,247804.707,249040.3808,251475.9014,19950.01234,445.29864,19156.451,19637.19458,19888.12231,20208.94583,21049.29832,23767.95589,912.2058545,21923.2163,23218.52262,23778.55609,24297.23798,25440.34411,12739.33352,217.2674167,12324.33853,12598.29561,12738.09968,12877.99397,13144.12645,52480.10214,1311.472429,50022.99997,51496.82607,52559.43787,53315.01737,54930.43762,3848.016293,137.7371685,3596.523178,3754.911975,3846.914397,3936.690053,4113.034916,5341.316873,680.2346845,4210.175113,4863.415125,5327.627447,5862.75643,6805.504763,2886.084484,169.5126342,2635.793698,2761.148031,2874.214109,3002.772046,3226.334205,25.84509907,0.299983408,2.21877755,0.049370691,2.459816669,0.129322948,1.35209755,0.034779748,6.044425097,0.047209052,0.486609404,0.010861472,0.579734521,0.022250009,0.310730609,0.005299464,1.280064933,0.031988693,0.093858634,0.003359607,0.130282377,0.016591899,0.070395738,0.004134656,10.86360007,-45.03258854,19.13754982,-46.40122362,38.80702331,-45.96679897
