area_name,C_extracted,C_extracted_SD,C_extracted_mesopredators,CE_meso_prop,C_extracted_highpred,CE_highpred_prop,C_extracted_low.level.con,CE_low.level_prop,C_extracted_pelagic,CE_pel_prop,C_extracted_demersal,CE_dem_prop,C_extracted_benthopel,CE_benthopel_prop,C_extracted_miscfun,CE_miscfun_prop
Albania,31220.23243,628.8044645,24897.23549,0.797471177,5424.55491,0.173751266,898.4420244,0.028777557,11038.81419,0.35357886,19866.95089,0.63634859,,,314.4673447,0.01007255
Algeria,719922.5593,3274.166559,566928.7545,0.787485747,68394.9892,0.095003259,84598.8156,0.117510994,571729.9957,0.794154855,57523.04694,0.079901715,18178.24383,0.025250277,72491.27275,0.100693153
American Samoa,24356.77929,498.2663498,8843.643169,0.363087544,15512.65281,0.636892613,0.483312216,1.98E-05,15634.35751,0.641889361,8537.685169,0.350526031,39.88571458,0.001637561,144.8509023,0.005947047
Andaman & Nicobar Isl. (India),50115.23199,448.2962436,8653.188307,0.172665834,41452.16395,0.827137026,9.87973241,0.00019714,48603.73024,0.969839474,105.8564106,0.00211226,2.674151174,5.34E-05,1402.971183,0.027994905
Angola,3297854.632,17487.28041,2442014.569,0.740485813,308461.3501,0.093533944,547378.7124,0.165980243,1137336.029,0.344871486,1088226.921,0.329980258,768014.8926,0.232883186,304276.7898,0.09226507
Anguilla (UK),1560.718591,16.42613787,205.3366155,0.131565432,1355.381976,0.868434568,,,1341.304275,0.859414556,155.1889097,0.099434267,0.187565213,0.000120179,64.03784129,0.041030998
Antigua & Barbuda,1790.312022,17.80167538,735.8123746,0.410996723,1054.499647,0.589003277,,,1028.171906,0.574297605,557.5377783,0.311419334,0.622943584,0.000347953,203.9793942,0.113935108
Argentina,4429268.254,19551.93657,1860900.162,0.420137155,2181563.161,0.492533537,382786.2816,0.086422014,143690.7331,0.03244119,130443.2694,0.029450298,2708306.302,0.611456825,1446827.95,0.326651687
Aruba (Netherlands),14658.62805,155.1707591,4239.747124,0.289232192,10363.11698,0.706963636,55.76394222,0.003804172,10496.55784,0.716066866,3512.359767,0.239610402,50.43861648,0.003440882,599.2718243,0.040881849
Ascension Isl. (UK),12556.65313,101.5632763,132.985507,0.01059084,12423.66762,0.98940916,,,12210.45275,0.972428928,49.42386273,0.00393607,5.52E-05,4.40E-09,296.7764651,0.023634997
"Atlantic, Antarctic",250321.196,7154.710575,9562.46938,0.038200798,343.6636361,0.001372891,240415.063,0.960426312,4657.755245,0.018607115,3218.949835,0.012859278,2012.394863,0.008039251,240432.0961,0.960494356
