year,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI
1960,2866822.127,82606.4367,2715397.887,2812347.824,2857845.978,2909332.062,3041300.067,698478.0075,13915.35968,673089.535,689024.6282,697201.8267,708091.3622,723704.213,146212.1682,12514.10179,128540.4554,136985.8266,143762.3861,152670.4078,176436.8433
1961,3245198.895,117333.1626,3061888.69,3157455.393,3238288.678,3314118.904,3443570.044,812504.8391,22293.82722,769809.3395,800166.5444,811570.4793,824381.5037,860942.3039,170522.7011,17754.28231,144033.849,159473.1855,167645.0718,178268.9097,211502.0001
1962,3512029.547,152295.1132,3257002.448,3399567.854,3484219.251,3617816.444,3826025.828,895666.3751,32428.87597,843900.8967,876094.1581,894348.5969,917409.7998,963725.2716,188151.9981,23705.82012,155959.6089,170948.1157,184710.9262,205490.1316,232995.0911
1963,3825415.575,148626.5023,3577997.279,3719259.437,3800451.781,3899647.733,4126469.112,967239.7464,29830.86009,910986.1547,950157.9935,967962.8589,986515.1309,1022712.672,200615.3935,25304.21142,167989.5798,183787.1853,196172.5553,213932.6073,266830.2979
1964,4342448.386,229980.9005,3967443.222,4168598.086,4322626.053,4476436.48,4870472.512,1117768.252,38854.85095,1051624.277,1092656.918,1116455.969,1146998.726,1199268.084,241274.4615,34818.85958,193270.4911,216534.6802,230401.7755,263923.6677,319865.164
1965,4337846.979,145095.5839,4097657.024,4242012.007,4317746.646,4410157.135,4611493.601,1092924.41,31965.17972,1038260.208,1069872.015,1089512.49,1119936.801,1151861.64,228678.3344,23664.24619,194553.1794,212127.953,222727.1474,241267.7527,281114.6973
1966,4800559.322,190390.9823,4508432.346,4656097.625,4790016.23,4907741.112,5182627.093,1225989.592,34906.78511,1161099.916,1202042.162,1226307.327,1246453.522,1305775.798,252882.6523,30648.2887,206717.1425,234094.8244,247279.3863,263622.9918,325738.9111
1967,5309949.851,234334.9132,4941698.622,5155752.066,5311593.772,5436489.015,5787770.803,1352478.546,44540.91958,1269798.537,1326573.888,1349142.683,1377322.587,1436160.162,290283.1734,38570.80914,228512.6159,263717.4493,285051.3464,322734.2355,356024.4181
1968,5817605.001,279679.2607,5349057.63,5614151.296,5786144.611,6046842.222,6336262.956,1478538.116,40541.63514,1406366.09,1448514.488,1475629.06,1506666.104,1559895.571,310415.5112,39561.64418,255748.8911,279736.4809,304578.6306,337166.2472,385023.4282
1969,5534137.349,229017.8428,5117477.321,5356678.087,5537692.201,5668049.372,6006646.253,1425547.488,37597.72463,1364976.505,1397617.036,1422158.083,1456891.948,1502495.809,295472.4517,35316.61738,248033.6255,269261.4787,289030.9848,310561.1462,372672.0249
