area_name,C.N_mean,C.N_SD,C.N_lowCI,C.N_highCI,C.N_mean_1960_64,C.N_SD_1960_64,C.N_lowCI_1960_64,C.N_highCI_1960_64,C.N_mean_1993_97,C.N_SD_1993_97,C.N_lowCI_1993_97,C.N_highCI_1993_97,C.N_mean_2014_18,C.N_SD_2014_18,C.N_lowCI_2014_18,C.N_highCI_2014_18,C.P_mean,C.P_SD,C.P_lowCI,C.P_highCI,C.P_mean_1960_64,C.P_SD_1960_64,C.P_lowCI_1960_64,C.P_highCI_1960_64,C.P_mean_1993_97,C.P_SD_1993_97,C.P_lowCI_1993_97,C.P_highCI_1993_97,C.P_mean_2014_18,C.P_SD_2014_18,C.P_lowCI_2014_18,C.P_highCI_2014_18,N.P_mean,N.P_SD,N.P_lowCI,N.P_highCI,N.P_mean_1960_64,N.P_SD_1960_64,N.P_lowCI_1960_64,N.P_highCI_1960_64,N.P_mean_1993_97,N.P_SD_1993_97,N.P_lowCI_1993_97,N.P_highCI_1993_97,N.P_mean_2014_18,N.P_SD_2014_18,N.P_lowCI_2014_18,N.P_highCI_2014_18
"Atlantic, Northeast",4.56108285155888,0.0644088285272912,4.42821266126836,4.69084104244719,4.80298184413858,0.160777573421587,4.50338732906799,5.09741349312504,4.70929278304364,0.17562883749377,4.34006015173061,5.04752796403434,4.67618808487433,0.284659690646983,4.09963363559737,5.27166986681128,43.5407911674372,1.19986199773614,41.1324218155853,45.6872631935863,54.2589665153994,3.00518029745385,49.4008484543333,59.8888548897594,45.1423657832722,2.41589518791566,40.8019763720626,49.5619764883286,44.295096133656,4.85585367257895,35.7334046328872,54.721109283029,9.54657339976393,0.242959797819981,9.04623083833734,9.91040692139924,11.2992332226388,0.550494965764317,10.4030020048632,12.3448960618042,9.59360016884172,0.536436893066244,8.68996264930587,10.613961667025,9.4829426398664,0.96448152734849,7.64923694490515,11.2120965299148
Belgium,4.84406420054207,0.0371280423773319,4.77660821303144,4.91757662454621,5.21493932898602,0.0936687911847154,5.02117594257594,5.38580940726551,4.70415499294834,0.106091725624854,4.50869412570147,4.93802102105687,4.5760122975002,0.137515635029954,4.34145361926708,4.82198167373865,54.7898588398592,0.780742108349562,53.4293310766343,56.2158439584189,53.2169351050718,1.79951709845309,50.073511936515,56.3201328134271,56.2301438842354,2.4089513348669,51.3987442752226,60.6372754251625,53.0926783356234,2.21434958981364,49.1528934663265,57.1717350467474,11.3109991496925,0.157442962503681,10.9952047353737,11.617325561254,10.2063030899081,0.344340664448917,9.53361556295765,10.8231311002977,11.9548853444282,0.478067692802114,10.9739377911404,12.8736611001391,11.6061822584571,0.447557501940609,10.7089408686983,12.5350415663872
Denmark (Baltic Sea),5.59478031967919,0.0346247319581314,5.53370388216377,5.6684781011688,5.41343947995956,0.0868354825074609,5.25153060461304,5.60894781562119,5.66721874544764,0.104477227778467,5.46846031195174,5.89412045786072,5.62199130549445,0.162588574067532,5.33379932718706,5.93694632021992,59.2626058007961,0.501600065780592,58.3803720656918,60.2319007582725,56.7955194026145,1.65114914277213,53.924757391348,60.0088598626741,59.6387994714207,1.37821514827699,56.801930241156,61.9369887239928,61.6771874058751,1.75983227348238,58.618509154455,64.9420578118432,10.5926462927671,0.0852929374015572,10.4307888701763,10.7497685601285,10.492119675928,0.27608661987362,9.96637500949339,11.0556415752373,10.5257538776991,0.265174746380952,10.121748386339,11.0001259880015,10.9790842359421,0.425699967444681,10.000166984386,11.7488110832176
Denmark (North Sea),5.27407309333827,0.0553238271891031,5.16891002226066,5.37233205996036,5.73064043778452,0.0816754563918385,5.60421814097835,5.91759096188703,5.15078590802853,0.238061387179513,4.69757301459515,5.63133472539627,5.15582520053625,0.169158005969224,4.84255802032479,5.47122679805983,51.2870056522603,1.02829317103139,49.7916343313207,53.7350676831267,55.9048857926738,1.48015857913944,52.754852903287,58.4701822672109,49.0436348320218,4.31055346684217,41.6424822988452,58.2145269258754,49.6673693053385,2.70089351668305,44.0796332857111,54.4098265053895,9.72463982818456,0.181442674403177,9.36172464562145,10.1561051014774,9.75709479442778,0.283488858604142,9.2615034131356,10.2644040620537,9.52671014757065,0.778960441699068,8.14264645207146,11.2548915682838,9.63635429864048,0.485966105265724,8.73089631487763,10.4358092978932
Estonia,5.90380178923365,0.0214642034366253,5.86590661224879,5.94557292478027,5.91008425826888,0.104668259444281,5.72691975726647,6.08158564319056,5.99450722764882,0.0700532101697128,5.87494515229856,6.14294003406484,6.05273471287302,0.0703849234123258,5.92972534041947,6.17568423525255,54.2295247785708,0.37653675007949,53.4929808813481,54.9793870218319,55.9650599853169,2.03577249308687,52.252389229211,59.6584597418638,53.5302727488915,1.34767368932576,50.6645000216994,56.0299586009938,53.3834965886619,1.27300232467339,51.0436582837171,55.7979314999445,9.18562865421675,0.0697069063685855,9.05928367972144,9.31433063233351,9.47168547430813,0.365032050878147,8.71862717911284,10.2060080567826,8.9308894937581,0.240290286289442,8.47511282815416,9.35241186959499,8.82073768918373,0.22725210932098,8.39788581850687,9.25139151704831
Faeroe Isl. (Denmark),4.69718922205894,0.0304025214155656,4.64783781718315,4.75768074238741,5.46513504381862,0.103076305537874,5.29395433004905,5.66717068191427,4.85946268258757,0.11686318543551,4.65520862189599,5.08766374302481,4.35416830639044,0.122526799106526,4.14163505893762,4.57617870819426,45.5387279294829,0.769267984193779,44.0403980914963,46.7364109476089,54.8826544258325,1.86958402319869,51.4700901666386,58.608409852784,47.9894336483956,2.30166453921727,44.2470314267925,52.432678618545,42.247291788913,2.63455758436379,37.6546510918579,47.334452996189,9.69494655973934,0.155292949271756,9.43011112310345,9.95592439953474,10.0429953112329,0.306920740837618,9.41974256510899,10.5565192461973,9.87716328589791,0.449250216210983,9.10708897068652,10.7579642052695,9.70561009921512,0.586393475943404,8.57356095672279,10.8268437741457
Finland,6.30542402790172,0.0385268742283411,6.23624676170774,6.37717408337063,6.28768044017188,0.116701177351412,6.04501966949205,6.50802189480008,6.4087253656598,0.148072485648127,6.11356077692872,6.66668001262196,6.38754802416658,0.148267795817576,6.11390237015817,6.65175347739482,56.4650329260248,0.49891419377385,55.6116590085612,57.3981737760149,56.6490978662788,2.0051550484812,52.7637632694652,60.7306823992311,56.6473422896882,1.90357919551909,52.7307008816297,60.0262112690949,56.3028921742867,2.08648806133163,52.6009713341003,60.2230608115322,8.95535468876003,0.0989998252570532,8.79024186185964,9.13728783097977,9.01153207837871,0.332180759751744,8.38636702281715,9.69797640191975,8.84326252989842,0.347676725239143,8.2088629421281,9.49389838135142,8.81823853892969,0.36395588321836,8.18012712023742,9.57605984712463
France (Atlantic Coast),4.92645370610624,0.0145852194861328,4.90414008172537,4.95746245643226,4.73992313577253,0.0500497307024096,4.6476163120797,4.82138480852775,4.78595053827794,0.0539053480244301,4.69844925693008,4.88055067138891,4.92973999643688,0.0453729099128145,4.83978329816198,5.02252853918209,50.1201689742102,0.408512444451364,49.323274293968,50.8347906285143,51.2590691472459,1.19913757484541,49.1902268830548,53.5668244770848,44.978243394227,1.27816870222104,42.7051702477333,47.3325689407272,49.4691900762137,1.14126871119943,47.0423451637571,51.9529407071654,10.1737640144176,0.087620794618788,10.0020505811414,10.3226082341461,10.8151960778376,0.264864315439215,10.3360146947545,11.3272579133651,9.39944596285777,0.297074163581731,8.81917432021956,10.0137424966416,10.0352701307477,0.23156187452534,9.59269890716885,10.4134635176492
Germany (Baltic Sea),5.69578266908351,0.038498727071808,5.6159600937706,5.76326450572204,5.39758345270845,0.114747556518505,5.19958642383126,5.62341751102119,5.83641185380284,0.102308449270641,5.64093915730532,6.04884713939732,5.76136807730512,0.102818819088591,5.57111936925755,5.96578425457338,59.2201232621906,0.654363658704248,57.9600323329301,60.4328766058749,56.2879036094238,1.63571437761757,52.8985964666863,59.0343714771527,60.0095179141276,1.27067925614584,57.6809278518899,62.3101649917231,57.3607160669835,1.6598711322453,53.9905894619318,59.9704213328058,10.3974752214522,0.119505348118655,10.1799593079815,10.6221425228421,10.4304559152192,0.295453911722493,9.92130236581254,10.9486842248793,10.2845673122406,0.264194617079364,9.80323733140962,10.7789857791314,9.95888930517055,0.328261573483611,9.32635188978171,10.6350990585358
Germany (North Sea),4.98881659017654,0.0708866743350488,4.85644301566958,5.12795577204299,5.32221677564073,0.167173950581648,5.0051042572161,5.63978223477476,4.95896075327055,0.346402483453782,4.31548758301421,5.63355031470814,5.07839868454835,0.167417770193794,4.72935111254867,5.38841255707094,52.1928875129012,1.50680519564929,49.2858371338727,55.1874985372209,61.1523924311598,2.73017961987569,57.026968511728,66.8245638298008,49.5577010713922,6.7619749656652,36.8653598846415,61.8009461339169,49.7911605453847,3.23055945780343,43.0759163785137,56.5126570512546,10.4625357058856,0.284259628714507,9.90990861479254,10.9484281773288,11.4947954340239,0.493319962968964,10.7127570584273,12.5755037395913,10.0164094524515,1.36996896226368,7.7335019506693,12.7644925191063,9.80648502953968,0.584059704976317,8.66787451863578,10.8395864267048
Greenland (Denmark),4.34005909474912,0.0473114451286125,4.25567637544728,4.42511718495446,4.86837262460813,0.17518536838417,4.56272806811546,5.24918832246221,4.26428792060781,0.163685481344714,3.96311423259691,4.5411501701932,4.17296093902592,0.111185440031091,3.93856230991027,4.35326085116185,49.6022613518374,0.757703467117633,48.3692265352134,51.1047510794703,58.2181900759455,3.16390498739048,52.4705641617651,64.8945375991634,47.5181280428144,2.14752549211311,43.5767650175952,51.2221615385264,45.020369187729,2.00850847998775,41.4796599427154,48.3480963640231,11.428988506214,0.127182372820652,11.233148773781,11.6734761911564,11.9578822614176,0.468703269372966,11.0732196231186,12.6800510928547,11.1471142107122,0.394217506558991,10.4117904032712,11.9365490633994,10.7902088819204,0.427906454586252,9.94027402594549,11.6450400921823
Iceland,4.77839691043557,0.0598596526503761,4.650524769743,4.89228939744806,4.79563344797956,0.16552206981102,4.47533457211533,5.14824869279567,4.70659192231283,0.243867129413373,4.23053529396126,5.17181910311642,4.94445257340584,0.139979554264237,4.69060843579766,5.25807406782544,56.1200640370381,0.969240674433715,54.3603270164171,57.7420091953076,50.6375086656163,3.25944708481112,44.9718415876332,56.092593487239,55.3397463674544,4.23319577790416,47.1644459805017,63.0826811167789,60.9155531923683,2.66627131336832,56.3797257456654,65.9844181829087,11.7447402585447,0.155787952105529,11.3834722355142,11.9782196749593,10.5636207528112,0.655107627865364,9.37036972418814,11.5365568354307,11.7613297822039,0.724171363368357,10.3847534304315,12.9636663307187,12.3225920147358,0.484695150738814,11.4566447579329,13.1304055145705
