year,C.N_mean,C.N_SD,C.N_lowCI,C.N_highCI,C.P_mean,C.P_SD,C.P_lowCI,C.P_highCI,N.P_mean,N.P_SD,N.P_lowCI,N.P_highCI
1960,4.78992629429764,0.154914739610418,4.46854637513908,5.08170896905127,51.0185993187985,4.57372333195537,40.7992174321888,59.0237732563136,10.6526717506902,0.908642359443836,8.62419225187268,11.9686442634868
1961,4.66335629875569,0.215256470021335,4.35024143546468,5.11659230381779,49.6673556712588,5.28271365971002,38.5169074455367,58.7246652014529,10.6517327382205,1.03666617655129,8.59285480144484,12.5291257307833
1962,4.57996641929378,0.247599066428616,4.20585809063356,5.10246352434829,48.8962131284355,5.83199364194944,37.9060378180883,58.3540698641781,10.6979197173676,1.34302102186797,8.26524926711115,13.0347052932503
1963,4.61796508392139,0.21736291822444,4.21628998200216,5.01370601460505,49.8966105443336,5.54294186518832,38.8987153630973,58.1356770452357,10.8190480371859,1.22507780564534,8.23277257215195,12.8201166169523
1964,4.53829402380745,0.297139112412008,4.02621875335107,5.26921704662217,47.3660969395284,6.60365048639587,33.9785383512014,57.4880333628233,10.449173042938,1.39949231980337,7.7443324306127,12.8525003923841
1965,4.63468997853586,0.210897471070997,4.24587050813743,4.99966438192949,49.5147139084479,5.30106678316386,38.6113154687465,58.5855649669868,10.6893189990156,1.08798007118203,8.36789623166954,12.4913031317824
1966,4.57128905863899,0.209548307451179,4.22678869016065,4.99637390767666,49.690294179457,5.88493233502788,37.4688062273772,60.2211033367752,10.8803579817409,1.26879619365003,8.27140050280155,13.3104425900276
1967,4.58592805929288,0.264341436402913,4.1570169166173,5.1463047282795,48.0694839698997,6.66073162794781,37.3587272160157,60.5392948094577,10.4842650981163,1.33327142294015,8.3756530493536,12.919042058537
1968,4.59408231239249,0.257682212699633,4.17795777993507,5.0990402519946,49.1759045307967,6.49747372178232,37.0277262077539,61.9374131312114,10.7059525562574,1.30113312700022,8.34528913206275,12.8258097337391
1969,4.53277006317961,0.231853392864486,4.11279139546007,4.95233850775302,49.0120895955571,5.76465338219674,38.4849835126809,59.1447067705733,10.8177581450147,1.18097225500982,8.3645579336113,12.7827698779775
